id_envio ,nombre_producto,id_camion,zona_destino,km_recorridos,tipo_entrega
90,Plancha,1,bandfield,10,1,1920
91,Cocina,2,bandfield,21,2,3425
92,Licuadora,1,bandfield,75,1,7920
145,Plancha,1,bandfield,71,2,7375
146,Cocina,4,bandfield,60,2,6275
60,Radio,5,bandfield,63,2,6575
94,Radio,5,bandfield,83,0,8650
95,Pendrive,7,bandfield,108,0,11150
22,Licuadora,6,bandfield,15,0,2600
152,Cocina,7,bandfield,35,2,5525
10,Radio,4,bandfield,25,0,4100
11,Radio,4,bandfield,75,1,7920
27,Pendrive,7,bandfield,112,2,11475
42,Radio,1,bandfield,94,0,9750
103,Televisor,3,bandfield,61,2,6375
28,Lavarropas,1,bandfield,104,1,10820
160,Pendrive,2,bandfield,109,1,11320
106,Plancha,1,bandfield,77,2,7975
44,Cocina,3,bandfield,15,2,2525
165,Cocina,1,bandfield,77,2,7975
70,Plancha,2,bandfield,103,0,10650
12,Plancha,3,bandfield,36,1,5820
170,Licuadora,5,bandfield,45,1,7170
30,Radio,3,bandfield,13,2,2225
111,Televisor,7,bandfield,95,2,9775
13,Radio,4,bandfield,53,2,5575
74,Televisor,4,bandfield,47,2,7325
114,Cocina,1,bandfield,76,1,8020
75,Plancha,7,bandfield,26,0,4250
50,Lavarropas,2,bandfield,92,2,9475
180,Lavarropas,3,bandfield,118,1,12220
117,Lavarropas,2,bandfield,109,1,11320
119,Televisor,2,bandfield,104,1,10820
183,Licuadora,1,bandfield,93,2,9575
120,Televisor,4,bandfield,38,2,5975
185,Lavarropas,6,bandfield,90,0,9350
51,Lavarropas,6,bandfield,83,2,8575
53,Radio,2,bandfield,33,1,5370
54,Plancha,2,bandfield,26,2,4175
56,Televisor,7,bandfield,104,2,10675
57,Lavarropas,2,bandfield,19,2,3125
194,Pendrive,3,bandfield,33,1,5370
195,Televisor,6,bandfield,15,2,2525
83,Lavarropas,1,bandfield,19,2,3125
130,Lavarropas,3,bandfield,120,2,12275
131,Radio,7,bandfield,44,1,7020
161,Lavarropas,5,avellaneda,114,2,11675
162,Pendrive,5,avellaneda,96,1,10020
45,Radio,7,avellaneda,97,2,9975
37,Licuadora,5,avellaneda,37,1,5970
38,Pendrive,2,avellaneda,97,1,10120
135,Plancha,6,avellaneda,120,1,12420
48,Pendrive,5,avellaneda,64,2,6675
168,Plancha,6,avellaneda,53,0,5650
169,Cocina,7,avellaneda,86,2,8875
2,Licuadora,6,avellaneda,69,2,7175
138,Plancha,7,avellaneda,114,0,11750
40,Plancha,3,avellaneda,21,0,3500
173,Licuadora,7,avellaneda,23,2,3725
63,Pendrive,6,avellaneda,45,2,7025
141,Pendrive,5,avellaneda,86,0,8950
14,Pendrive,1,avellaneda,43,1,6870
177,Plancha,3,avellaneda,10,2,1775
65,Pendrive,6,avellaneda,43,2,6725
52,Plancha,1,avellaneda,70,2,7275
118,Cocina,4,avellaneda,11,0,2000
26,Pendrive,5,avellaneda,56,1,6020
82,Televisor,3,avellaneda,48,0,7550
100,Cocina,7,avellaneda,71,2,7375
101,Lavarropas,4,avellaneda,75,0,7850
23,Plancha,1,avellaneda,82,2,8475
186,Televisor,2,avellaneda,22,0,3650
151,Cocina,7,avellaneda,114,0,11750
124,Radio,6,avellaneda,32,2,5075
125,Cocina,5,avellaneda,72,0,7550
190,Plancha,2,avellaneda,55,1,5920
55,Televisor,5,avellaneda,84,0,8750
192,Licuadora,6,avellaneda,98,2,10075
104,Cocina,6,avellaneda,106,1,11020
36,Plancha,4,avellaneda,40,1,6420
129,Lavarropas,3,avellaneda,21,0,3500
158,Licuadora,6,avellaneda,81,0,8450
197,Cocina,4,avellaneda,56,0,5950
86,Pendrive,2,avellaneda,97,2,9975
199,Radio,7,avellaneda,90,2,9275
87,Radio,7,avellaneda,98,0,10150
